Annee,Lieux,Nom,Prénom,Sexe,Pays,Sport,Épreuve,Collectif,Force,Endurance,Agilite
2024,France,Lin,Hong,M,Chine,HandBall,HandBall,false,10,4,19
2024,France,Mori,Yuto,M,USA,Natation,100 brasse,false,8,6,10
2028,Etats-Unis,Gao,Xin,M,Allemagne,Natation,ralais libre,false,17,2,18
2024,France,Sato,Mio,M,Allemagne,Natation,ralais libre,false,9,4,14
2028,Etats-Unis,Becker,Luisa,F,Allemagne,Escrime,Escrime,false,1,18,11
2024,France,Shimizu,Haruka,F,Maroc,HandBall,HandBall,false,6,16,9
2024,France,Chen,Fang,M,Australie,HandBall,HandBall,false,6,10,7
2032,Australie,Li,Liu,F,Maroc,Athletisme,Athletisme,false,20,18,2
2028,Etats-Unis,Ma,Jing,M,Japon,generic,generic,false,20,17,13
2032,Australie,Huang,Xin,F,Kenya,generic,generic,false,4,17,9
2032,Australie,Goto,Ryota,M,Chine,Athletisme,Athletisme,false,3,20,4
2024,France,Chen,Liu,M,Turquie,Handball,Handball,true,6,10,10
2024,France,Li,Wei,M,Chine,Handball,Handball,true,5,20,8
2028,Etats-Unis,Tanaka,Ryota,F,Australie,Escrime,Escrime,false,4,9,5
2028,Etats-Unis,Moreau,Lucas,M,Allemagne,HandBall,HandBall,false,1,1,11
2024,France,Zimmermann,Emilia,M,Allemagne,Athletisme,Athletisme,false,11,15,3
2028,Etats-Unis,Matsumoto,Saki,M,USA,HandBall,HandBall,false,10,10,5
2024,France,Simon,Jules,F,Turquie,HandBall,HandBall,false,6,1,8
2028,Etats-Unis,Fournier,Mathis,F,France,Natation,ralais libre,false,11,11,12
2032,Australie,Goto,Ryota,F,Brésil,generic,generic,false,4,6,5
2024,France,Fujita,Haruto,M,Chine,HandBall,HandBall,false,5,19,5
2032,Australie,Sakamoto,Rina,M,Allemagne,Handball,Handball,true,2,1,9
2024,France,Chen,Shuang,F,Japon,generic,generic,false,18,3,20
2032,Australie,Huang,Guo,F,Brésil,Athletisme,Athletisme,false,4,17,20
2024,France,Blanc,Emma,F,USA,Escrime,Escrime,false,1,5,16
2024,France,Chen,He,F,Turquie,generic,generic,false,15,3,15
2032,Australie,Zhao,Xiang,F,Allemagne,generic,generic,false,9,10,14
2032,Australie,Sasaki,Riku,M,Brésil,Escrime,Escrime,false,16,11,11
2024,France,Wang,Yan,F,Japon,Natation,ralais libre,false,6,8,13
2032,Australie,He,Liu,F,France,HandBall,HandBall,false,12,19,8
2032,Australie,Maier,Jonas,M,Kenya,Handball,Handball,true,17,3,5
2024,France,Barbier,Manon,F,Japon,Natation,100 brasse,false,8,15,12
2024,France,Yamada,Saki,F,Maroc,Handball,Handball,true,2,11,2
2028,Etats-Unis,Maeda,Kaito,M,Kenya,Escrime,Escrime,false,19,10,14
2028,Etats-Unis,Goto,Ryota,F,Turquie,Escrime,Escrime,false,13,6,11
2028,Etats-Unis,Lefebvre,Théo,F,Japon,Escrime,Escrime,false,8,4,17
2024,France,Rousseau,Noé,M,Japon,Escrime,Escrime,false,16,9,13
2024,France,Zhao,Huang,M,Allemagne,Athletisme,Athletisme,false,10,15,6
2032,Australie,He,He,F,Australie,generic,generic,false,4,11,9
2028,Etats-Unis,Kondo,Mio,M,Maroc,Handball,Handball,true,4,1,18
2028,Etats-Unis,Fujita,Sakura,M,France,Escrime,Escrime,false,11,3,9
2024,France,Hasegawa,Rin,M,Japon,Escrime,Escrime,false,2,7,18
2032,Australie,Tanaka,Yusuke,F,Australie,Natation,100 brasse,false,20,13,15
2028,Etats-Unis,Goto,Yusuke,F,Turquie,Natation,100 brasse,false,5,9,17
2024,France,Zhu,Wei,M,Turquie,Escrime,Escrime,false,16,15,1
2032,Australie,He,Liu,M,France,Escrime,Escrime,false,1,2,8
2028,Etats-Unis,Gao,Chen,M,Maroc,HandBall,HandBall,false,8,13,8
2032,Australie,Fontaine,Lola,F,France,Escrime,Escrime,false,1,12,7
2032,Australie,Chen,Ting,F,France,Natation,100 brasse,false,13,18,1
2024,France,Schmitz,Luisa,M,Brésil,Escrime,Escrime,false,1,5,8
2032,Australie,Goto,Sora,F,Maroc,Handball,Handball,true,15,15,9
2028,Etats-Unis,Ma,Chen,M,Allemagne,Athletisme,Athletisme,false,16,13,4
2024,France,Hasegawa,Yuna,F,Australie,generic,generic,false,7,10,15
2024,France,Barbier,Louis,F,Brésil,generic,generic,false,11,6,9
2028,Etats-Unis,Kobayashi,Asuka,M,Japon,Handball,Handball,true,7,1,9
2024,France,Xu,Min,M,Japon,HandBall,HandBall,false,11,13,20
2024,France,Zhang,Xia,M,Australie,HandBall,HandBall,false,20,4,4
2024,France,Chen,Jun,F,Turquie,generic,generic,false,6,6,12
2028,Etats-Unis,Roux,Sacha,F,Turquie,Natation,100 brasse,false,11,7,15
2032,Australie,Hasegawa,Kazuki,F,Chine,generic,generic,false,11,9,8
2024,France,Hu,Sun,M,Kenya,Escrime,Escrime,false,9,18,17
2032,Australie,Ogawa,Nana,M,Australie,generic,generic,false,5,8,13
2024,France,Schmidt,Ben,M,Japon,Escrime,Escrime,false,18,12,19
2032,Australie,Goto,Kokoro,F,Turquie,HandBall,HandBall,false,19,10,7
2032,Australie,Fujita,Sakura,F,Australie,Handball,Handball,true,19,17,2
2024,France,Inoue,Takumi,M,Chine,Natation,100 brasse,false,18,5,8
2028,Etats-Unis,Shimizu,Yuki,M,France,HandBall,HandBall,false,9,3,4
2028,Etats-Unis,Li,Qian,M,Turquie,Escrime,Escrime,false,15,6,11
2032,Australie,Yoshida,Takumi,F,Turquie,HandBall,HandBall,false,5,19,12
2028,Etats-Unis,Tanaka,Naoki,M,Kenya,Escrime,Escrime,false,14,13,5
2032,Australie,Sasaki,Sakura,M,Japon,generic,generic,false,8,12,6
2032,Australie,Simon,Arthur,M,Kenya,Escrime,Escrime,false,2,3,9
2028,Etats-Unis,Laurent,Paul,M,France,generic,generic,false,16,18,13
2024,France,Yamada,Naoki,F,Maroc,Handball,Handball,true,12,10,14
2024,France,Kobayashi,Yuki,F,Kenya,Natation,100 brasse,false,13,20,2
2028,Etats-Unis,Schulz,Emma,F,Allemagne,generic,generic,false,3,15,20
2024,France,Yang,Shuang,F,Australie,Escrime,Escrime,false,2,1,6
2032,Australie,Laurent,Théo,F,Australie,Handball,Handball,true,14,4,10
2032,Australie,Richard,Camille,M,France,generic,generic,false,1,5,13
2032,Australie,Faure,Louise,F,Turquie,Natation,100 brasse,false,15,2,11
2032,Australie,Sakamoto,Yuki,M,France,Handball,Handball,true,16,17,3
2032,Australie,Sun,Hu,M,Brésil,Natation,100 brasse,false,13,7,5
2032,Australie,Klein,Julian,M,Maroc,generic,generic,false,1,7,2
2028,Etats-Unis,Richard,Gabin,F,France,Athletisme,Athletisme,false,16,13,9
2028,Etats-Unis,Guo,Yiming,M,Brésil,Athletisme,Athletisme,false,12,1,7
2024,France,Zhu,Xue,M,Allemagne,generic,generic,false,9,14,12
2032,Australie,Schwarz,Leon,M,Maroc,Escrime,Escrime,false,14,9,14
2024,France,Schäfer,Sophie,F,Allemagne,HandBall,HandBall,false,11,17,5
2024,France,Takahashi,Shiori,F,USA,generic,generic,false,7,18,20
2024,France,Yamamoto,Hana,F,Japon,Athletisme,Athletisme,false,1,6,11
2028,Etats-Unis,Bauer,Simon,M,Chine,Escrime,Escrime,false,20,8,16
2032,Australie,Zimmermann,Mia,M,Japon,Handball,Handball,true,15,17,19
2024,France,Yamada,Asuka,F,Brésil,generic,generic,false,1,14,6
2024,France,Chen,Yan,F,Japon,HandBall,HandBall,false,16,9,7
2028,Etats-Unis,Sakai,Aoi,M,Allemagne,HandBall,HandBall,false,16,19,20
2032,Australie,Wang,Hui,M,Maroc,Handball,Handball,true,8,3,14
2028,Etats-Unis,He,Jun,F,Chine,Handball,Handball,true,13,15,12
2032,Australie,Hayashi,Yusuke,M,Chine,Escrime,Escrime,false,10,2,7
2032,Australie,Sun,Ling,F,Brésil,Handball,Handball,true,5,12,9
2028,Etats-Unis,Ishii,Riko,F,France,Natation,100 brasse,false,1,3,11
2032,Australie,Sakai,Yuna,F,France,HandBall,HandBall,false,7,8,18
2024,France,Yamamoto,Rina,F,Australie,Natation,100 brasse,false,2,14,19
2032,Australie,Lefevre,Louise,F,Brésil,Escrime,Escrime,false,1,14,12
2024,France,Zhang,Sun,F,USA,Escrime,Escrime,false,9,6,8
2032,Australie,Ma,Chen,M,Kenya,Athletisme,Athletisme,false,4,11,2
2024,France,Takahashi,Ryota,F,France,Natation,100 brasse,false,5,5,5
2032,Australie,Sato,Sora,F,France,Athletisme,Athletisme,false,13,15,7
2032,Australie,Xu,Ting,F,Turquie,Athletisme,Athletisme,false,1,11,13
2032,Australie,Zhao,Li,M,Maroc,Natation,ralais libre,false,16,13,16
2032,Australie,Wu,Jing,M,Chine,Handball,Handball,true,15,6,10
2028,Etats-Unis,Goto,Sosuke,F,France,HandBall,HandBall,false,3,18,7
2028,Etats-Unis,Fournier,Lola,M,Japon,Athletisme,Athletisme,false,16,4,1
2024,France,Dubois,Mathis,F,Japon,Escrime,Escrime,false,5,2,15
2024,France,Hasegawa,Haruto,M,Kenya,Escrime,Escrime,false,4,8,4
2024,France,Garcia,Juliette,F,Australie,Escrime,Escrime,false,20,3,5
2032,Australie,Saito,Daiki,F,Kenya,Athletisme,Athletisme,false,14,12,7
2028,Etats-Unis,Shibata,Kaito,F,Chine,Escrime,Escrime,false,15,18,7
2028,Etats-Unis,Thomas,Nathan,M,Chine,HandBall,HandBall,false,6,8,5
2032,Australie,Maeda,Yusuke,M,Allemagne,Athletisme,Athletisme,false,10,5,10
2024,France,Goto,Sakura,F,USA,Natation,100 brasse,false,8,20,1
2024,France,Goto,Rin,M,Australie,HandBall,HandBall,false,9,14,18
2024,France,Sakamoto,Mio,F,Australie,Athletisme,Athletisme,false,8,1,7
2024,France,Sakai,Sora,M,Brésil,Escrime,Escrime,false,20,14,7
2024,France,Blanc,Tom,F,Turquie,Natation,100 brasse,false,20,9,9
2032,Australie,Richard,Hugo,F,Turquie,generic,generic,false,18,18,17
2024,France,Liu,Lan,F,Turquie,Natation,ralais libre,false,10,20,13
2032,Australie,Kondo,Nana,F,Maroc,Athletisme,Athletisme,false,19,9,5
2032,Australie,He,Xin,F,Brésil,Athletisme,Athletisme,false,12,12,1
2024,France,Kato,Sora,F,Brésil,generic,generic,false,1,16,9
2028,Etats-Unis,Takahashi,Ren,F,Australie,Natation,ralais libre,false,6,1,8
2024,France,Gao,Yan,F,USA,HandBall,HandBall,false,6,4,16
2028,Etats-Unis,Zhou,Chen,M,Chine,Escrime,Escrime,false,4,13,20
2028,Etats-Unis,Shibata,Ren,M,Australie,Handball,Handball,true,2,11,15
2024,France,Girard,Gabin,F,Kenya,HandBall,HandBall,false,15,15,2
2028,Etats-Unis,Sun,Jun,M,Kenya,Escrime,Escrime,false,18,1,4
2024,France,Yoshida,Takumi,F,USA,Handball,Handball,true,7,3,5
2028,Etats-Unis,Vincent,Sacha,F,USA,Athletisme,Athletisme,false,19,19,11
2024,France,Ito,Yuto,M,Kenya,Handball,Handball,true,20,18,2
2024,France,Ishikawa,Haruto,F,Brésil,HandBall,HandBall,false,1,19,4
2032,Australie,Yang,Lan,M,Turquie,Athletisme,Athletisme,false,16,12,19
2028,Etats-Unis,Vincent,Jules,M,Chine,Escrime,Escrime,false,2,10,3
2028,Etats-Unis,Kimura,Kokoro,M,Brésil,Handball,Handball,true,4,5,12
2032,Australie,Shimizu,Ryota,F,Japon,Handball,Handball,true,12,16,8
2032,Australie,Muller,Arthur,M,Chine,generic,generic,false,18,18,12
2028,Etats-Unis,Maier,Leon,M,Allemagne,generic,generic,false,9,4,11
2028,Etats-Unis,Li,Qian,M,Japon,Handball,Handball,true,19,6,18
2028,Etats-Unis,Robin,Léna,M,Turquie,Escrime,Escrime,false,5,17,10
2032,Australie,Kimura,Yuki,M,Australie,Escrime,Escrime,false,3,4,8
2032,Australie,Ogawa,Hana,M,USA,Handball,Handball,true,9,13,13
2024,France,Zhou,Wei,F,Japon,Athletisme,Athletisme,false,5,1,8
2024,France,Kimura,Haruto,M,Kenya,Escrime,Escrime,false,8,15,1
2032,Australie,Takahashi,Takeshi,M,Chine,Escrime,Escrime,false,6,9,1
2028,Etats-Unis,Lin,Zhao,F,Turquie,Natation,ralais libre,false,18,6,2
2024,France,Sato,Mio,M,Maroc,Escrime,Escrime,false,19,5,10
2024,France,Schmid,Moritz,M,Kenya,Natation,ralais libre,false,6,17,9
2024,France,Shibata,Shiori,F,Turquie,Natation,ralais libre,false,11,16,19
2028,Etats-Unis,Yamaguchi,Hiroshi,M,Turquie,generic,generic,false,18,7,17
2032,Australie,Rousseau,Théo,F,Japon,Natation,100 brasse,false,8,17,3
2028,Etats-Unis,Yamamoto,Kazuki,F,Japon,Natation,100 brasse,false,11,2,5
2028,Etats-Unis,Takahashi,Shiori,F,Allemagne,Athletisme,Athletisme,false,16,13,14
2024,France,Saito,Hana,M,Allemagne,Handball,Handball,true,19,20,13
2028,Etats-Unis,Ma,Li,M,Chine,Escrime,Escrime,false,17,13,15
2028,Etats-Unis,Chen,Yang,M,Turquie,Athletisme,Athletisme,false,10,10,16
2024,France,Shibata,Nana,M,Turquie,Athletisme,Athletisme,false,9,3,15
2032,Australie,Robin,Gabriel,F,Kenya,Handball,Handball,true,3,12,5
2024,France,Bernard,Inès,F,Brésil,generic,generic,false,8,6,11
2024,France,Fujita,Yuki,F,Allemagne,generic,generic,false,15,12,13
2032,Australie,Lehmann,Elias,F,Chine,Athletisme,Athletisme,false,4,15,1
2024,France,Goto,Haruto,M,Maroc,Escrime,Escrime,false,16,18,13
2024,France,Schäfer,Maja,M,Maroc,Handball,Handball,true,11,11,13
2024,France,Murakami,Yuki,M,Chine,Natation,100 brasse,false,10,20,12
2024,France,Ma,Yan,F,Turquie,Escrime,Escrime,false,12,5,18
2028,Etats-Unis,Lin,Hui,M,Australie,Handball,Handball,true,16,5,12
2032,Australie,Faure,Alice,F,Turquie,HandBall,HandBall,false,11,16,17
2028,Etats-Unis,Robert,Emma,F,Australie,generic,generic,false,1,8,3
2028,Etats-Unis,Yamada,Naoki,M,Kenya,Handball,Handball,true,18,14,2
2028,Etats-Unis,Lambert,Léna,M,Kenya,generic,generic,false,20,19,12
2028,Etats-Unis,Dubois,Raphaël,F,Maroc,HandBall,HandBall,false,1,17,8
2032,Australie,Richard,Zoé,M,Allemagne,HandBall,HandBall,false,4,20,16
2024,France,Xu,Huang,F,Brésil,Natation,ralais libre,false,10,18,16
2032,Australie,Saito,Yuki,F,Kenya,HandBall,HandBall,false,13,8,1
2024,France,Shibata,Yuna,M,USA,Athletisme,Athletisme,false,8,16,6
2032,Australie,Muller,Manon,F,Australie,Handball,Handball,true,16,10,5
2024,France,Roux,Léna,M,Brésil,Natation,ralais libre,false,4,3,5
2032,Australie,Zhu,Xue,M,Chine,Natation,100 brasse,false,13,6,13
2028,Etats-Unis,Kimura,Sakura,F,Australie,generic,generic,false,3,16,12
2024,France,Blanc,Hugo,F,Chine,Escrime,Escrime,false,15,4,3
2028,Etats-Unis,Sun,Hui,M,Maroc,HandBall,HandBall,false,20,10,15
2024,France,Dupont,Zoé,F,Australie,generic,generic,false,7,17,19
2032,Australie,Kondo,Kaito,M,Australie,HandBall,HandBall,false,12,18,7
2028,Etats-Unis,Zhang,Li,F,Kenya,Athletisme,Athletisme,false,2,12,2
2024,France,Wang,Zhang,M,Turquie,Natation,ralais libre,false,9,16,3
2032,Australie,Moreau,Jules,M,Brésil,Handball,Handball,true,15,5,11
2024,France,Yamada,Takeshi,F,Turquie,Handball,Handball,true,19,7,18
2032,Australie,Ogawa,Akira,M,Allemagne,Handball,Handball,true,20,20,14
2024,France,Maeda,Sosuke,F,Japon,Natation,ralais libre,false,9,19,2
2032,Australie,Shimizu,Mio,F,Australie,Athletisme,Athletisme,false,20,13,20
2028,Etats-Unis,Takahashi,Takeshi,M,Australie,Athletisme,Athletisme,false,17,7,8
2028,Etats-Unis,Ishii,Yuna,M,Maroc,Athletisme,Athletisme,false,1,4,11
2028,Etats-Unis,Inoue,Kazuki,F,Maroc,Handball,Handball,true,19,8,7
2032,Australie,Ma,Chen,F,Maroc,Handball,Handball,true,8,8,8
2024,France,Yang,Shuang,F,Australie,Escrime,Escrime,false,20,15,4
2024,France,Hayashi,Takumi,M,Chine,generic,generic,false,18,9,11
2028,Etats-Unis,Ishikawa,Yusuke,F,Chine,Escrime,Escrime,false,7,18,14
2032,Australie,Matsumoto,Sakura,M,Chine,generic,generic,false,18,1,9
2032,Australie,Sasaki,Takumi,M,Turquie,generic,generic,false,19,2,19
2028,Etats-Unis,He,Zhou,M,Maroc,Handball,Handball,true,3,3,3
2032,Australie,Watanabe,Yuna,F,France,Athletisme,Athletisme,false,8,1,17
2032,Australie,Zhao,Yang,F,USA,HandBall,HandBall,false,4,7,11
2028,Etats-Unis,Wu,Chen,F,Maroc,generic,generic,false,5,1,18
2032,Australie,Li,Hu,M,Allemagne,Handball,Handball,true,8,1,4
2024,France,Saito,Shiori,M,USA,Natation,100 brasse,false,12,13,8
2032,Australie,Saito,Rina,F,Maroc,Athletisme,Athletisme,false,1,8,10
2032,Australie,Xu,Min,M,Australie,Natation,ralais libre,false,16,10,6
2028,Etats-Unis,Thomas,Manon,F,USA,generic,generic,false,18,12,17
2024,France,Yang,Min,F,Japon,generic,generic,false,17,4,9
2032,Australie,Richard,Léna,F,Chine,Athletisme,Athletisme,false,14,1,6
2028,Etats-Unis,Robin,Emma,M,Japon,Athletisme,Athletisme,false,3,10,3
2032,Australie,Gao,Jun,F,Brésil,HandBall,HandBall,false,20,8,16
2028,Etats-Unis,Chen,Yang,M,Maroc,generic,generic,false,18,5,12
2028,Etats-Unis,Michel,Nolan,F,Kenya,Escrime,Escrime,false,20,19,9
2024,France,Guerin,Tom,F,Maroc,Athletisme,Athletisme,false,10,19,1
2032,Australie,Hasegawa,Yuna,F,USA,HandBall,HandBall,false,11,7,5
2032,Australie,Kobayashi,Ryota,F,Turquie,HandBall,HandBall,false,6,5,19
2032,Australie,Goto,Nana,M,Turquie,Athletisme,Athletisme,false,18,12,10
2028,Etats-Unis,Perez,Gabin,M,Turquie,Handball,Handball,true,14,1,16
2028,Etats-Unis,Liu,Min,M,Maroc,Athletisme,Athletisme,false,18,19,1
2032,Australie,Durand,Juliette,F,Japon,Handball,Handball,true,10,11,18
2032,Australie,Tanaka,Haruka,F,Chine,generic,generic,false,19,6,11
2024,France,Schmitz,Sophie,M,USA,Natation,ralais libre,false,5,12,12
2032,Australie,Schmid,Johanna,M,France,Escrime,Escrime,false,7,20,16
2032,Australie,Watanabe,Naoki,M,Allemagne,Handball,Handball,true,18,10,9
2028,Etats-Unis,Watanabe,Ryota,M,Chine,Natation,100 brasse,false,14,5,3
2024,France,Sato,Haruto,F,France,Natation,ralais libre,false,3,5,12
2024,France,Shimizu,Yuna,F,USA,Natation,ralais libre,false,4,4,2
2024,France,Sakai,Sakura,M,Japon,Escrime,Escrime,false,17,4,12
2024,France,Hu,Hu,F,Turquie,Escrime,Escrime,false,15,1,9
2028,Etats-Unis,Wang,Lan,F,Brésil,Natation,ralais libre,false,19,15,12
2024,France,Huang,Xu,M,Brésil,HandBall,HandBall,false,11,19,5
2028,Etats-Unis,Zhao,Guo,F,Allemagne,HandBall,HandBall,false,3,5,7
2032,Australie,Yamamoto,Ren,M,Japon,HandBall,HandBall,false,4,6,19
2028,Etats-Unis,Maeda,Sakura,F,USA,Athletisme,Athletisme,false,9,19,18
2028,Etats-Unis,Chen,Hui,F,Kenya,Escrime,Escrime,false,1,3,10
2032,Australie,Watanabe,Riko,F,France,Natation,ralais libre,false,17,8,12
2024,France,Wang,Wang,F,Turquie,generic,generic,false,12,15,9
2028,Etats-Unis,He,Shuang,F,France,Athletisme,Athletisme,false,5,13,7
2032,Australie,Kobayashi,Riku,F,Allemagne,Natation,100 brasse,false,1,11,5
2032,Australie,Meier,Marie,F,Turquie,Athletisme,Athletisme,false,16,14,13
2032,Australie,Shibata,Haruka,M,Australie,generic,generic,false,8,17,18
2028,Etats-Unis,Hasegawa,Aoi,M,Brésil,Handball,Handball,true,8,1,11
2028,Etats-Unis,Watanabe,Yuna,F,USA,Natation,100 brasse,false,9,6,15
2032,Australie,Richard,Emma,F,France,generic,generic,false,2,8,11
2032,Australie,Meyer,Jakob,M,Chine,Natation,100 brasse,false,5,11,5
2032,Australie,Thomas,Emma,F,Maroc,Natation,ralais libre,false,4,9,4
2028,Etats-Unis,Wu,Jun,F,USA,Natation,100 brasse,false,8,2,17
2024,France,Ito,Shiori,F,Chine,Handball,Handball,true,10,18,9
2032,Australie,Sasaki,Ren,F,Maroc,generic,generic,false,19,19,15
2028,Etats-Unis,Suzuki,Mio,F,Turquie,Natation,100 brasse,false,2,10,19
2032,Australie,Wang,Xu,F,Maroc,Athletisme,Athletisme,false,4,19,13
2028,Etats-Unis,Mori,Yui,M,France,Athletisme,Athletisme,false,4,12,10
2024,France,Yoshida,Ryota,F,Kenya,generic,generic,false,18,9,14
2028,Etats-Unis,Liu,Guo,M,Turquie,Handball,Handball,true,1,19,10
2024,France,Ishikawa,Takumi,F,Australie,generic,generic,false,14,19,16
2028,Etats-Unis,Robert,Théo,F,Maroc,Athletisme,Athletisme,false,12,7,13
2024,France,Sun,Xu,M,Turquie,HandBall,HandBall,false,15,8,7
2024,France,Xu,Qian,F,USA,Escrime,Escrime,false,1,19,14
2028,Etats-Unis,Shimizu,Yuto,M,Chine,Natation,ralais libre,false,2,18,2
2024,France,Lefevre,Arthur,F,Maroc,generic,generic,false,19,19,15
2024,France,Yoshida,Saki,M,France,generic,generic,false,9,14,2
2032,Australie,Lin,Sun,F,Kenya,generic,generic,false,9,1,19
2032,Australie,Yamaguchi,Nana,F,Chine,Athletisme,Athletisme,false,2,1,5
2024,France,Huang,Xia,M,France,generic,generic,false,9,20,8
2024,France,Ogawa,Sakura,F,Turquie,HandBall,HandBall,false,6,18,16
2028,Etats-Unis,Liu,Ling,M,Kenya,Handball,Handball,true,4,9,9
2032,Australie,Richter,Lena,F,France,Handball,Handball,true,14,19,1
2028,Etats-Unis,Shimizu,Yuna,F,Chine,Escrime,Escrime,false,13,19,8
2032,Australie,Liu,Zhu,M,Chine,Escrime,Escrime,false,9,3,7
2024,France,Huang,Ling,F,Turquie,Handball,Handball,true,4,20,12
2024,France,Neumann,Emily,M,USA,generic,generic,false,3,14,17
2024,France,Kimura,Yuto,F,Turquie,Escrime,Escrime,false,3,9,14
2032,Australie,Gao,Min,F,USA,Escrime,Escrime,false,2,1,15
2024,France,Schmid,Jakob,F,Kenya,HandBall,HandBall,false,1,19,6
2024,France,Wu,Li,F,Kenya,Natation,ralais libre,false,19,16,1
2032,Australie,Fujita,Hana,M,Maroc,HandBall,HandBall,false,20,10,7
2032,Australie,Hu,Qian,F,Turquie,Natation,ralais libre,false,5,4,16
2024,France,Dubois,Lucas,M,USA,HandBall,HandBall,false,18,19,12
2024,France,Kondo,Akira,M,Allemagne,Escrime,Escrime,false,6,6,14
2032,Australie,Mori,Sosuke,F,Allemagne,Athletisme,Athletisme,false,19,16,11
2032,Australie,Hu,Xia,F,USA,HandBall,HandBall,false,19,1,20
2032,Australie,Ito,Nana,M,Japon,Natation,ralais libre,false,3,19,15
